INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTSTK    ,SBICARD   ,27/01/2026,00000903.90,00000903.90,00000884.00,00000886.90,000000016380800,     2176648120.00,          2437600,             3047,             2512
FUTSTK    ,SBICARD   ,24/02/2026,00000895.45,00000898.85,00000882.00,00000884.35,000000000572000,      212102000.00,           238400,              298,              276
FUTSTK    ,SBICARD   ,30/03/2026,00000892.80,00000894.00,00000879.35,00000882.85,000000000092800,       20580720.00,            23200,              029,              028
FUTSTK    ,SBILIFE   ,27/01/2026,00002098.30,00002117.00,00002074.90,00002079.20,000000008934375,     3221749275.00,          1537500,             4100,             3414
FUTSTK    ,SBILIFE   ,24/02/2026,00002103.30,00002125.10,00002086.80,00002089.20,000000000141000,       76613925.00,            36375,              097,              096
FUTSTK    ,SBILIFE   ,30/03/2026,00002112.00,00002131.30,00002105.10,00002105.10,000000000014625,        5568900.00,             2625,              007,              007
FUTSTK    ,SBIN      ,27/01/2026,00001021.25,00001023.60,00001006.40,00001009.25,000000077292000,    13688743125.00,         13527000,            18036,            14578
FUTSTK    ,SBIN      ,24/02/2026,00001027.05,00001027.05,00001012.45,00001015.10,000000001795500,      646712700.00,           635250,              847,              784
FUTSTK    ,SBIN      ,30/03/2026,00001035.90,00001035.95,00001019.30,00001021.40,000000000237750,      103091362.50,           100500,              134,              128
FUTSTK    ,SHREECEM  ,27/01/2026,00027565.00,00027565.00,00027305.00,00027455.00,000000000267925,      889186750.00,            32425,             1297,             1121
FUTSTK    ,SHREECEM  ,24/02/2026,00027505.00,00027565.00,00027380.00,00027475.00,000000000003425,       19230000.00,              700,              028,              028
FUTSTK    ,SHREECEM  ,30/03/2026,00027600.00,00027600.00,00027590.00,00027590.00,000000000000225,        1379750.00,              050,              002,              002
FUTSTK    ,SHRIRAMFIN,27/01/2026,00001001.80,00001008.00,00000995.05,00001000.80,000000044639925,     4088958555.00,          4083750,             4950,             4461
FUTSTK    ,SHRIRAMFIN,24/02/2026,00001000.20,00001011.30,00000999.35,00001003.90,000000002912250,      167343907.50,           166650,              202,              197
FUTSTK    ,SHRIRAMFIN,30/03/2026,00001009.00,00001012.85,00001006.55,00001011.00,000000000202125,       19165946.25,            18975,              023,              021
