TIMESTAMP,INSTRUMENT,SYMBOL,EXP_DATE,OPEN_PRICE,HI_PRICE,LO_PRICE,CLOSE_PRICE,OPEN_INT*,TRD_VAL,TRD_QTY,NO_OF_CONT,NO_OF_TRADE,OPEN_INT
2018-04-03,FUTSTK,ICICIBANK,2018-05-31,258.6,272.75,258.6,271.5,1168750.0,183597700.0,684750.0,249.0,246.0,
2018-04-03,FUTSTK,ICICIBANK,2018-06-28,264.2,272.0,264.2,271.85,151250.0,21306312.5,79750.0,29.0,29.0,
2018-04-04,FUTSTK,ICICIBANK,2018-04-26,267.85,273.9,266.3,269.0,101238500.0,20359403625.0,75534250.0,27467.0,25196.0,
2018-04-04,FUTSTK,ICICIBANK,2018-05-31,268.0,275.05,267.5,269.9,1185250.0,202332762.5,748000.0,272.0,268.0,
2018-04-04,FUTSTK,ICICIBANK,2018-06-28,270.0,273.3,267.05,268.85,154000.0,21496887.5,79750.0,29.0,29.0,
2018-04-05,FUTSTK,ICICIBANK,2018-04-26,269.2,280.4,268.3,279.15,96126250.0,17059214837.5,61883250.0,22503.0,20131.0,
2018-04-05,FUTSTK,ICICIBANK,2018-05-31,270.55,281.0,270.55,279.95,1377750.0,289574587.5,1045000.0,380.0,372.0,
2018-04-05,FUTSTK,ICICIBANK,2018-06-28,272.05,279.8,271.75,278.8,96250.0,63734962.5,231000.0,84.0,77.0,
2018-04-06,FUTSTK,ICICIBANK,2018-04-26,278.6,283.35,277.45,281.0,93524750.0,13236745362.5,47225750.0,17173.0,15902.0,
2018-04-06,FUTSTK,ICICIBANK,2018-05-31,279.2,284.15,278.25,281.6,1427250.0,231969925.0,825000.0,300.0,283.0,
2018-04-06,FUTSTK,ICICIBANK,2018-06-28,278.3,281.7,278.3,279.9,104500.0,6944162.5,24750.0,9.0,9.0,
2018-04-09,FUTSTK,ICICIBANK,2018-04-26,278.1,283.95,275.6,280.95,90406250.0,19544376500.0,69916000.0,25424.0,22769.0,
2018-04-09,FUTSTK,ICICIBANK,2018-05-31,277.85,284.5,276.7,281.7,1650000.0,303794287.5,1083500.0,394.0,382.0,
2018-04-09,FUTSTK,ICICIBANK,2018-06-28,276.0,283.7,276.0,281.25,118250.0,18565250.0,66000.0,24.0,24.0,
2018-04-10,FUTSTK,ICICIBANK,2018-04-26,278.7,294.7,278.7,288.85,88797500.0,27571944812.5,95295750.0,34653.0,31305.0,
2018-04-10,FUTSTK,ICICIBANK,2018-05-31,282.65,295.15,282.65,289.5,2029500.0,546692575.0,1883750.0,685.0,653.0,
2018-04-10,FUTSTK,ICICIBANK,2018-06-28,281.55,294.2,281.55,288.8,123750.0,52469862.5,181500.0,66.0,66.0,
2018-04-11,FUTSTK,ICICIBANK,2018-04-26,288.0,288.3,282.4,284.8,85720250.0,10847143862.5,38060000.0,13840.0,12799.0,
2018-04-11,FUTSTK,ICICIBANK,2018-05-31,289.4,289.4,283.25,285.65,1985500.0,206576975.0,723250.0,263.0,254.0,
2018-04-11,FUTSTK,ICICIBANK,2018-06-28,286.5,287.85,283.6,284.5,159500.0,25908437.5,90750.0,33.0,33.0,
2018-04-12,FUTSTK,ICICIBANK,2018-04-26,285.35,289.9,283.7,286.65,82214000.0,11133163387.5,38750250.0,14091.0,12749.0,
2018-04-12,FUTSTK,ICICIBANK,2018-05-31,286.1,290.35,285.25,287.1,2117500.0,239135187.5,830500.0,302.0,293.0,
2018-04-12,FUTSTK,ICICIBANK,2018-06-28,287.0,289.1,286.5,286.6,159500.0,10282112.5,35750.0,13.0,13.0,
2018-04-13,FUTSTK,ICICIBANK,2018-04-26,287.15,291.2,285.65,288.85,82280000.0,10550679975.0,36536500.0,13286.0,12004.0,
2018-04-13,FUTSTK,ICICIBANK,2018-05-31,287.95,291.65,286.5,289.35,2263250.0,303306437.5,1047750.0,381.0,355.0,
2018-04-13,FUTSTK,ICICIBANK,2018-06-28,288.2,290.5,286.4,289.0,167750.0,18283237.5,63250.0,23.0,23.0,
2018-04-16,FUTSTK,ICICIBANK,2018-04-26,285.3,289.5,284.45,288.15,80533750.0,6670899675.0,23177000.0,8428.0,7506.0,
2018-04-16,FUTSTK,ICICIBANK,2018-05-31,285.3,290.0,285.3,288.55,2411750.0,194311150.0,673750.0,245.0,221.0,
